房源信息,价格,链接,地址,面积,朝向,规格,楼层,品牌,发布时间,亮点
整租·丰裕里 1室0厅 北,3800元/月,/zufang/SH2339607026223038464.html,黄浦-新天地-丰裕里,30㎡,北,1室0厅1卫,高楼层                        （2层）,贝壳优选,3天前发布,近地铁新上随时看房
整租·梅陇十一村 1室1厅 南,3900元/月,/zufang/SH2341183411986898944.html,徐汇-华东理工-梅陇十一村,44㎡,南,1室1厅1卫,中楼层                        （6层）,贝壳优选,1天前发布,新上随时看房
整租·宛平南路268弄 1室0厅 南,4000元/月,/zufang/SH2326835280406904832.html,徐汇-徐家汇-宛平南路268弄,23㎡,南,1室0厅1卫,中楼层                        （7层）,贝壳优选,4天前发布,近地铁精装新上随时看房
整租·东湾小区 1室1厅 南,3400元/月,/zufang/SH2335453251145056256.html,徐汇-华泾-东湾小区,41㎡,南,1室1厅1卫,中楼层                        （6层）,贝壳优选,9天前发布,随时看房
整租·华建一街坊 2室1厅 南,3890元/月,/zufang/SH2306213071539929088.html,徐汇-华泾-华建一街坊,56㎡,南,2室1厅1卫,高楼层                        （6层）,贝壳优选,1个月前发布,随时看房
整租·长桥三村 2室1厅 南,4300元/月,/zufang/SH2307750683245551616.html,徐汇-长桥-长桥三村,58㎡,南,2室1厅1卫,中楼层                        （6层）,贝壳优选,1个月前发布,随时看房
整租·长桥一村 1室0厅 东南,3890元/月,/zufang/SH2314210525871357952.html,徐汇-长桥-长桥一村,42㎡,东南,1室0厅1卫,高楼层                        （6层）,贝壳优选,1个月前发布,精装随时看房
整租·上中路458弄 1室1厅 南,3450元/月,/zufang/SH2326134040845369344.html,徐汇-植物园-上中路458弄,38㎡,南,1室1厅1卫,高楼层                        （6层）,贝壳优选,22天前发布,随时看房
整租·田林十二村 1室1厅 南,3900元/月,/zufang/SH2298569163675287552.html,徐汇-田林-田林十二村,30㎡,南,1室1厅1卫,中楼层                        （6层）,贝壳优选,28天前发布,近地铁随时看房
整租·长桥一村 1室0厅 南,3600元/月,/zufang/SH2329487103995412480.html,徐汇-长桥-长桥一村,29㎡,南,1室0厅1卫,中楼层                        （5层）,贝壳优选,17天前发布,精装随时看房
整租·梅陇九村 1室1厅 南,3500元/月,/zufang/SH2325828415392841728.html,徐汇-华东理工-梅陇九村,45㎡,南,1室1厅1卫,高楼层                        （6层）,贝壳优选,22天前发布,随时看房
整租·金虹苑小区 1室1厅 南,4888元/月,/zufang/SH2336682152211005440.html,长宁-西郊-金虹苑小区,40㎡,南,1室1厅1卫,高楼层                        （6层）,贝壳优选,7天前发布,精装随时看房
整租·馨兰小区 1室1厅 南,5000元/月,/zufang/SH2339139797618270208.html,长宁-西郊-馨兰小区,42㎡,南,1室1厅1卫,高楼层                        （6层）,贝壳优选,4天前发布,新上随时看房
整租·日晖六村 1室0厅 南,4890元/月,/zufang/SH2339019461828280320.html,徐汇-斜土路-日晖六村,34㎡,南,1室0厅1卫,高楼层                        （5层）,贝壳优选,4天前发布,近地铁精装新上随时看房
整租·城东新村（三区） 2室1厅 南,2400元/月,/zufang/SH2334521835326554112.html,青浦-夏阳-城东新村（三区）,49㎡,南,2室1厅1卫,高楼层                        （6层）,贝壳优选,10天前发布,随时看房
整租·南丹小区 1室1厅 东南/南,4850元/月,/zufang/SH2298455869585113088.html,徐汇-徐家汇-南丹小区,37㎡,东南 南,1室1厅1卫,低楼层                        （7层）,贝壳优选,2个月前发布,近地铁随时看房
整租·盈中新村 3室1厅 南,2200元/月,/zufang/SH2334804078279786496.html,青浦-盈浦-盈中新村,61㎡,南,3室1厅1卫,高楼层                        （6层）,贝壳优选,10天前发布,随时看房
整租·淡水路442弄 2室1厅 南,7500元/月,/zufang/SH2310669801573318656.html,黄浦-新天地-淡水路442弄,46㎡,南,2室1厅1卫,中楼层                        （6层）,贝壳优选,1个月前发布,近地铁随时看房
整租·绿地时代名邸 2室2厅 南,2800元/月,/zufang/SH2330987068676636672.html,青浦-白鹤-绿地时代名邸,84㎡,南,2室2厅1卫,低楼层                        （28层）,贝壳优选,14天前发布,近地铁精装随时看房
整租·丰裕里 2室1厅 南,9000元/月,/zufang/SH2309431012997996544.html,黄浦-新天地-丰裕里,60㎡,南,2室1厅1卫,中楼层                        （3层）,贝壳优选,1个月前发布,近地铁精装随时看房
整租·马当小区 2室1厅 南,11200元/月,/zufang/SH2334664704963911680.html,黄浦-新天地-马当小区,84㎡,南,2室1厅1卫,中楼层                        （27层）,贝壳优选,10天前发布,近地铁精装随时看房
整租·汇成五村 2室1厅 南/北,4600元/月,/zufang/SH2308484721056677888.html,徐汇-上海南站-汇成五村,59㎡,南 北,2室1厅1卫,高楼层                        （6层）,贝壳优选,1个月前发布,随时看房
整租·西部花苑 2室2厅 南,2700元/月,/zufang/SH2329740728684781568.html,青浦-盈浦-西部花苑,76㎡,南,2室2厅1卫,中楼层                        （6层）,贝壳优选,12天前发布,随时看房
整租·楼园小区 2室1厅 南,5100元/月,/zufang/SH2331649267992895488.html,徐汇-上海南站-楼园小区,61㎡,南,2室1厅1卫,中楼层                        （6层）,贝壳优选,14天前发布,随时看房
整租·康健路77弄 2室1厅 南,5400元/月,/zufang/SH2320820357159985152.html,徐汇-康健-康健路77弄,51㎡,南,2室1厅1卫,高楼层                        （6层）,贝壳优选,29天前发布,近地铁随时看房
整租·马当小区 2室1厅 南,9300元/月,/zufang/SH2303498281835036672.html,黄浦-新天地-马当小区,62㎡,南,2室1厅1卫,中楼层                        （27层）,贝壳优选,1个月前发布,近地铁精装随时看房
整租·橡胶小区 1室1厅 南,4890元/月,/zufang/SH2323155431876468736.html,徐汇-徐家汇-橡胶小区,37㎡,南,1室1厅1卫,中楼层                        （6层）,贝壳优选,16天前发布,近地铁随时看房
整租·光华园 2室1厅 南,4900元/月,/zufang/SH2335574433622147072.html,徐汇-上海南站-光华园,61㎡,南,2室1厅1卫,高楼层                        （6层）,贝壳优选,9天前发布,随时看房
整租·日晖二村 1室1厅 南,4350元/月,/zufang/SH2318110068161118208.html,徐汇-斜土路-日晖二村,38㎡,南,1室1厅1卫,低楼层                        （5层）,贝壳优选,1个月前发布,近地铁随时看房
整租·田林十一村 2室0厅 南,6000元/月,/zufang/SH2323779773236510720.html,徐汇-田林-田林十一村,50㎡,南,2室0厅1卫,中楼层                        （6层）,贝壳优选,25天前发布,近地铁精装随时看房
整租·长海坊 2室1厅 南/北,5800元/月,/zufang/SH2326820227771809792.html,徐汇-康健-长海坊,61㎡,南 北,2室1厅1卫,低楼层                        （6层）,贝壳优选,21天前发布,精装随时看房
整租·钦州路111弄 1室1厅 南,5600元/月,/zufang/SH2326788694498869248.html,徐汇-康健-钦州路111弄,62㎡,南,1室1厅1卫,高楼层                        （30层）,贝壳优选,21天前发布,近地铁随时看房
整租·长虹小区 2室0厅 南/北,6300元/月,/zufang/SH2334551392142245888.html,长宁-新华路-长虹小区,47㎡,南 北,2室0厅1卫,高楼层                        （6层）,贝壳优选,10天前发布,近地铁随时看房
整租·海防新村 1室1厅 南,3500元/月,/zufang/SH2328770719053791232.html,浦东-洋泾-海防新村,30㎡,南,1室1厅1卫,高楼层                        （6层）,贝壳优选,18天前发布,随时看房
整租·胶南小区 1室0厅 南,3500元/月,/zufang/SH2322968166965182464.html,浦东-南码头-胶南小区,34㎡,南,1室0厅1卫,高楼层                        （6层）,贝壳优选,26天前发布,精装随时看房
整租·乐山四五村 1室1厅 南,5300元/月,/zufang/SH2336231094821076992.html,徐汇-徐家汇-乐山四五村,35㎡,南,1室1厅1卫,低楼层                        （6层）,贝壳优选,8天前发布,近地铁精装随时看房
